Word,Count
=,70
the,28
,23
and,16
in,14
of,14
>,14
/,13
\0.0f,\,12
1,12
a,12
+,12
TODO:,11
f,10
for,10
{,10
0,10
to,9
if,9
},8
comet,8
mModle,7
0.0f));,7
-,7
float,7
Step,6
\"\C:\A\C_Programme\gluw\Glew\,6
\1.0f,\,6
2,6
?',6
d,6
time,6
u(j),6
!=,5
cos,5
this,5
==,5
\?,\,5
(add),5
velocity,5
cosh,5
is,5
u,5
sin,5
unsigned,4
:,4
\glm::vec3(0.0f,\,4
vector,4
then,4
[,4
e,4
MB_OK);,4
Verzeichnisse,4
triangle,4
],4
1010,4
\MessageBox(NULL,\,4
CV++,4
new,3
Vx',3
*,3
int,3
Vy',3
const,3
|,3
Make,3
that,3
hyperbolic,3
3,3
M,3
glm::mat4(1.0f);,3
else,3
sinh,3
\glm::rotate(mModle,\,3
Vy''',3
Vy'',3
as,3
The,3
by,3
make,3
ecliptic,3
at,3
Heliocentric,3
\anomaly,\,3
Rotate,3
T,3
2;,3
0.0f),3
\rotation,\,3
\0,\,3
?f,3
t,3
};,3
sun-relative,3
Vx''',3
?[GM?/(?a)],2
\glm::normalize(glm::vec3(1.0f,\,2
move,2
might,2
\0.771f,\,2
heliocentric,2
orbit,2
glEnable(GL_CULL_FACE);,2
Page,2
Vz',2
radians,2
verzeichnisse,2
static,2
Message,2
+=,2
\0.014f,\,2
0010,2
\0.583f,\,2
(180/?),2
based,2
x,2
index,2
(e,2
\0.483f,\,2
\0.436f,\,2
\0.505f,\,2
\M_PI_2),\,2
\sqrt(2),\,2
meters,2
Vx'',2
u(j+1),2
direction);,2
Include,2
linesIndecies;,2
vilocity,2
memory,2
\latitude,\,2
\"\MatrixID"\,\,2
sizeof(BitMapHeader));,2
problems,2
cube->uploadMatrix(mProjection*camera->getMatrix()*mModle);,2
get,2
work,2
0.0f);,2
4,2
m,2
allocate,2
½,2
be,2
transformation,2
begin,2
1000,2
\glDrawArrays(GL_LINES,\,2
\std::to_string(matrixID).c_str(),\,2
\0.559f,\,2
Vz,2
Key,2
cos(epsilon)*y_ecl,2
mean,2
Create,2
//,2
Bibliotecsverzeichnisse,2
degrees,2
error,2
glm::mat4,2
Hyperbolic,2
linesIndexBuffer);,2
cube->draw();,2
up,2
Vz''',2
prealockatedLinesBuffer,2
coordinates,2
Error,2
end,2
don't,2
i,2
\glm::vec3(1.0f,\,2
header,2
with,2
position,2
non-constant,1
look,1
\x,\,1
\glm::translate(mModle,\,1
They,1
\loadToEBO(linesIndecies,\,1
horizontalAngle,1
read,1
2.0f;,1
\0.077f,\,1
E,1
Vx,1
\0.513f,\,1
normalHat))*normalHat;,1
\0.489f,\,1
GM,1
Vz'',1
5,1
funktions,1
\0.174f,\,1
s,1
Notes:,1
bufferIndex,1
addH,1
Default,1
CourrierNew,1
y>0,1
Normals,1
Errors,1
//4,1
sphere,1
Dynamics,1
-up.x/up.z));,1
\-1.0f,//3\,1
\0.042f,\,1
\0.861f,\,1
Major,1
\comet,\,1
cube->prepare(true);,1
\0.517f,\,1
\0.953f,\,1
Colision,1
CST,1
Einstellungen:,1
commented,1
r,1
each,1
\atan2(head.y,\,1
p;,1
thing,1
y,1
\Glut\freeglut.dll"\\,1
cos(epsilon)*z_ecl;,1
std::ios::in,1
units,1
\0.783f,\,1
happen,1
9);,1
sin(epsilon)*z_ecl;,1
multiple,1
>=,1
0.00000009f;,1
eboID,1
VILOCITY,1
\(glm::dot(vilocity,\,1
value,1
//2,1
\0.548f,\,1
\0.435f,\,1
on,1
were,1
\"\couldn't\,1
Repeat,1
gravitational,1
Standish,1
human,1
project,1
source,1
vertex,1
\20.0f,\,1
\File"\,\,1
modle->length,1
Spend,1
\0.997f,\,1
linesIndexBuffer;,1
head.x);,1
arcsin(z/r),1
Down,1
spread,1
due,1
\motion,\,1
Depends,1
\0.120f,\,1
@,1
yet,1
\m,\,1
GM?,1
\triangleIndecies,\,1
together,1
parameter,1
\0.645f,\,1
Planete,1
sqrt(head.x*head.x,1
1),1
\texture"\,\,1
world_space_units/ms,1
way,1
\0.225f,\,1
d?²,1
\0.596f,\,1
head,1
find,1
gen,1
\plain->perpareAndDraw(timeMs,\,1
BitMapHeader,1
ascending,1
(addH,1
PlaneteBuffer,1
Algemain,1
Eingabe,1
sec?²,1
steps,1
J2000.0,1
Until,1
\0.327f,\,1
up),1
\SetCursorPos(p.x,\,1
POINT,1
(up.x,1
astronomical,1
\y,\,1
Pos,1
double-primed,1
problem,1
0);,1
(in.fail()),1
Energy,1
\0.053f,\,1
\0.587f,\,1
\"\Keplerian\,1
\sqrt(2),//3\,1
\0.116f,\,1
\0.345f,\,1
z,1
\-3.0f,\,1
cubeColorData[],1
(up.z,1
x>0,1
(pn->n,1
files,1
\0.201f,\,1
orbital,1
Spesific,1
\0.455f,\,1
cos(horizontalAngle,1
want,1
6,1
j,1
LinearOutputBars,1
orbits,1
\0.673f,\,1
Conversion,1
coordinate,1
int[countUIntTriangleStrip*2];,1
(cubePosData[i],1
Is,1
let,1
system,1
light,1
\Vy,\,1
\glm::cross(glm::vec3(right.x,\,1
\0.055f,\,1
shader->use(true);,1
Eccentric,1
u=0,1
while,1
\0.945f,\,1
\up.x,\,1
rsNormals[],1
if(errer,1
\0.719f,\,1
GMT,1
1.49597870691e11,1
\Glut\glew-1.11.0\lib"\\,1
convert,1
Number,1
\Glut\glew32.dll"\\,1
\0.167f,\,1
1.32712440018e20,1
ot,1
\0.211f,\,1
Keplerian,1
+(a/r),1
\u,\,1
less,1
SetCapture(hWnd);,1
TODO,1
\0.195f,\,1
\0.747f,\,1
\Glut\freeglut\include"\\,1
change,1
are,1
over,1
collide,1
\0.616f,\,1
\example,\,1
\0.572f,\,1
0.0f){,1
p.y,1
in.ignore(bfh.OffsetBits,1
Canonical,1
z_eq,1
1.0f),1
checking,1
\0.406f,\,1
Caltech,1
Own,1
0.0f,1
42;,1
\Vx,\,1
\0.883f,\,1
\0.302f,\,1
\glm::translate(transformation,\,1
Norm,1
if(up.y,1
output,1
u),1
remove,1
Julian,1
std::ios::binary);,1
vertecies,1
epsilon,1
&p);,1
reference,1
linesIndexBuffer,1
load,1
Copy,1
\0.371f,\,1
\0.279f,\,1
\in.open("\TextureText\\CourrierNew.bmp"\,\,1
linesIndecies,1
possibly,1
\triangleStripToLines(countTriangleIndecies,\,1
ORBITS,1
Field,1
2456659.0),1
Positions,1
\glm::dot(planets[i]->getVilocity(),\,1
\atan2(head.z,\,1
p.y);,1
\0.223f,\,1
\0.609f,\,1
only,1
20.0f));,1
\Yes,\,1
&&,1
Handle,1
glm::vec4,1
Write,1
\"\Error"\,\,1
\Planets"\\,1
\(float)M_PI_4,\,1
\glm::vec3(4.0f,\,1
userInput->windowSize.hight,1
1.0f));,1
shaders,1
\0.064f,\,1
\glew32.lib"\\,1
grav,1
Multibyte-Zeichensatz-Verwenden,1
arccos,1
//transformation,1
\parameter,\,1
wrong,1
12h,1
\0.592f,\,1
Folder,1
FIX,1
Fix,1
Vertecie,1
\0.184f,\,1
intio,1
\right.z),\,1
System,1
<,1
untested,1
case,1
debugging,1
\glm::scale(transformation,\,1
1101,1
\z,\,1
p.x,1
argument,1
AU,1
?(e²?1),1
\0.602f,\,1
\0.959f,\,1
same,1
6;,1
\Glut\glew-1.11.0\include"\\,1
userInput->windowSize.width,1
a1,1
\0.621f,\,1
\glm::vec3(20.0f,\,1
Choose,1
glutInit();,1
\0.576f,\,1
glm::normalize(glm::vec3(-up.y,1
Date,1
64);,1
\0.833f,\,1
them,1
PROBLEM,1
color,1
readability,1
\0.848f,\,1
node,1
0),1
?[GM?/(?a)³],1
countIndecies,1
Data,1
\0.722f,\,1
\0.857f,\,1
Approximate,1
\0.137f,\,1
rad/ms,1
longitude,1
\0.789f,\,1
\0.620f,\,1
return,1
\0.457f,\,1
\0.133f,\,1
planets[j]->getVilocity()),1
perihelion,1
colisions,1
it,1
Language,1
max,1
sqrt(2),1
int*,1
Solar,1
David,1
Q=,1
(countTriangleIndecies,1
\0.328f,\,1
\0.362f,\,1
u>0,1
lies,1
Q,1
Random,1
\-1.0f,//1\,1
Group,1
\0.359f,\,1
\0.310f,\,1
WITH,1
Generator,1
rad2deg,1
cube->prepare(false);,1
\longitude,\,1
),1
m³,1
\glm::rotate(transformation,\,1
\0.040f,\,1
0.879f,1
\0.977f,\,1
\0.734f,\,1
\-1.0f,//2\,1
\"\freeglut.lib;\,1
\in.read((char*)&bfh,\,1
generated,1
True,1
\0.730f,\,1
nor,1
\glm::rotate(glm::mat4(1.0f),\,1
\0.185f,\,1
bfh,1
batter,1
\Glut\freeglut\lib"\\,1
head.z*head.z)),1
not,1
Why,1
Elements,1
\0.982f,\,1
closer,1
Q=0,1
\0.639f,\,1
Source:,1
23.43928;,1
shader->use(false);,1
Add,1
\"\Couldn't\,1
randomly,1
Wheel;,1
day,1
base,1
\a,\,1
Not,1
glm::cross(glm::vec3(sin(horizontalAngle,1
\0.543f,\,1
(float)(horizontalAngle,1
Input,1
&,1
mProjection*camera->getMatrix()*transformation);,1
First,1
\"\C:\A\C_Programme\glm\glm"\\,1
state,1
\0.820f,\,1
For,1
\0.615f,\,1
\t,\,1
those,1
Includeverzeichnisse,1
//1,1
\0.714f,\,1
\0.338f,\,1
x_eq,1
?(a/r),1
(errorCode,1
arctan(y/x),1
\ClientToScreen(hWnd,\,1
(86400,1
errorCode,1
\*glm::vec4(0.0f,\,1
\e,\,1
you,1
z_eq);,1
(For,1
int[(countUIntTriangleStrip-3)*6];,1
1e-12,1
\0.761f,\,1
arround,1
\0.099f,\,1
\"\BadFile"\,\,1
\0.317f,\,1
\0.970f,\,1
JPL,1
los,1
radius),1
y_eq,1
|u(j+1)?u(j)|,1
count,1
Zeichensatz,1
its,1
\-1.0f,//0\,1
HYPERBOLIC,1
say,1
(t?T),1
\i,\,1
Skip,1
M_PI_2;,1
Abhänighkeiten,1
\0.140f,\,1
\0.115f,\,1
\glm::vec3(x_eq,\,1
Linker,1
delete[],1
Sun's,1
int[linesIndecies];,1
\right.y,\,1
\0.713f,\,1
Font,1
elements,1
12:13,1
Sims:,1
single-primed,1
\0.021f,\,1
canonical,1
Let's,1
Sqare,1
\0.822f,\,1
used,1
file,1
terain->draw();,1
\0.290f,\,1
Consider,1
\0.347f,\,1
\0.978f,\,1
\?',\,1
\0.393f,\,1
between,1
\0.770f,\,1
One,1
inclination,1
u0,1
expected,1
supposed,1
\M_PI_2)),\,1
\0.676f,\,1
Vy,1
\0.569f,\,1
Break,1
\0.971f,\,1
verticalAngle,1
\0.152f,\,1
transformation(1.0f);,1
from,1
\-up.x/up.y,\,1
changed,1
January,1
3),1
01/28/2013,1
\0.859f,\,1
\0.597f,\,1
sec/day),1
x_ecl;,1
per,1
JD,1
addH;,1
Frame,1
Threads,1
shader->uploadMatrix(mProjection*camera->getMatrix()*mModle);,1
\coordinates,\,1
class,1
schouldn't,1
\observation,\,1
Zusätzliche,1
This,1
/*head,1
\y_eq,\,1
\M,\,1
y0,1
2014,1
number,1
right,1
(ShowCursor(false),1
ignore,1
\0.844f,\,1
